"행정구역(읍면동)별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"행정구역(읍면동)별",총인구_계 (명),총인구_남자 (명),총인구_여자 (명),내국인_계 (명),내국인_남자 (명),내국인_여자 (명),외국인_계 (명),외국인_남자 (명),외국인_여자 (명),가구_계 (가구),가구_일반가구 (가구),가구_집단가구 (가구),가구_외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비거주용건물내주택 (호),주택이외의 거처_계 (호)
"세종특별자치시",117177,60833,56344,115532,59751,55781,1645,1082,563,45148,44523,77,548,39638,15181,22673,468,981,335,222
"동부",22385,11019,11366,22335,11003,11332,50,16,34,7013,7001,7,5,7534,2,7532,0,0,0,2
"읍부",51626,27216,24410,51058,26871,24187,568,345,223,20322,20052,17,253,14459,3114,10487,341,383,134,59
"면부",43166,22598,20568,42139,21877,20262,1027,721,306,17813,17470,53,290,17645,12065,4654,127,598,201,161
